Nombre;CUIT;NroPrestador;Sucursal;Provincia;Seccional;Partido;Localidad;Domicilio;Telefono;Tipo de prestador;Especialidad
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;GuardiaActiva;Clinica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;GuardiaActiva;Obstetrica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Alergia e Inmunologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Cardiologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Cardiologia Infantil
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Clinica Medica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Dermatologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Dermatologia Infantil
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Endocrinologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Gastroenterologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Ginecologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Hemoterapia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Infectologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Neumonologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Nutricion
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Obstetricia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Oftalmologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Oftalmologia Infantil
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Otorrinolaringologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Patologia Mamaria
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Psiquiatria
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Traumatologia y Ortopedia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Traumatologia y Ortopedia Infantil
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;EspecialidadesAmbulatorio;Urologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Internacion;Internacion Otorrinolaringologica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Internacion;Internacion Traumatologica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Internacion;Piso
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Internacion;Respirador
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Internacion;Terapia Intermedia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Internacion;UTI
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Artroscopica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Cabeza y Cuello
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Endoscopica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;General
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Infantil
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Laparoscopica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Miembro Superior y Mano
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Pierna y Pie
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Plastica Reparadora
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Cirugias;Toracica
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Anatomia Patologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Camara Gamma - Medicina Nuclear - Radioisotopos
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Colposcopia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Eco-Doppler
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Ecografia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Ecografia Infantil
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Electrocardiograma
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Endoscopia Digestiva
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Ergometria
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Espirometria
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Estudios mamarios
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Holter
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Alergia e Inmunologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Bacteriologia y Serologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Dosaje Hormonal
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Estudios Metabolicos - Fosfacalcicos
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Estudios Nefrologicos
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Hematologia - Hemostasia - Trombosis
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Micologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Laboratorio Radioinmunoensayo
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Monitoreo Fetal
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Presurometria
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Psicologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Radiologia
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Radiologia Infantil
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Resonancia Magnetica Nuclear
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Tomografia Computada
CLINICA PRIVADA SAN VICENTE;20169997439;301;1;Buenos Aires;GBA SUR;San Vicente;San Vicente;Sarmiento 901;1131602715;Diagnostico;Tomografo abierto
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;GuardiaActiva;Cardiologica
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;GuardiaActiva;Clinica
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;GuardiaActiva;Ginecologica
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;GuardiaActiva;Obstetrica
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;GuardiaActiva;Traumatologica
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;GuardiaPasiva;General
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;GuardiaPasiva;Quirurgica
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Adolescencia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Alergia e Inmunologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Alergia e Inmunologia Infantil
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Cardiologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Clinica Medica
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Dermatologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Diabetologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Endocrinologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Fisiatria
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Flebologia y Linfologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Gastroenterologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Ginecologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Hematologia e Inmunologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Nefrologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Neonatologia
CLINICA CRUZ CELESTE;30546159937;900011;1;Buenos Aires;GBA SUR;La Matanza;Villa Luzuriaga;Bermudez 2895;7078-3838;EspecialidadesAmbulatorio;Neumonologia
