NROPRESTADOR,PRESTADOR,PLAN,TIPO DE PRESTADOR,ESPECIALIDAD,ZONA,DIRECCION,TELEFONO,BARRIO_LOCALIDAD
10544,ASOC. DE FONIAT AUDIO Y LOGO. PLATENSE,UNIVERSAL,Profesionales,FONOAUDIOLOGIA,BUENOS AIRES,Calle 31 Nº323 E 1 Y 2,0221 4251281,Bahia Blanca
1,ASOCIACION MEDICA DE BAHIA BLANCA,UNIVERSAL,Profesionales,CLINICA MEDICA,BUENOS AIRES,Castelli Nro 213,0211 4553252,Bahia Blanca
1,ASOCIACION MEDICA DE BAHIA BLANCA,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,Castelli Nro 213,0211 4553252,Bahia Blanca
1,ASOCIACION MEDICA DE BAHIA BLANCA,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,Castelli Nro 213,0211 4553252,Bahia Blanca
875,CIRCULO MEDICO REGIONAL TRES ARROYOS,UNIVERSAL,Profesionales,CLINICA MEDICA,BUENOS AIRES,AV. Rivadavia 481,02183 431616,Tres Arroyos
250,COLEGIO DE KINES.DE LA PCIA.DE BS.AS.,UNIVERSAL,Profesionales,KINESIOLOGIA,BUENOS AIRES,Diagonal 74 Nro. 783,0800 666 5463,Bahia Blanca
1028,FABA FED.BIOQ.DE LA PCIA DE BUENOS AIRES,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,BUENOS AIRES,Calle 6 Nº 1344,0221 4457000 4238517,Bahia Blanca
900,FECLIBA,UNIVERSAL,Profesionales,CARDIOLOGIA,BUENOS AIRES,Calle 7 Nº532,0221 412 1100,Bahia Blanca
900,FECLIBA,UNIVERSAL,Profesionales,GINECOLOGIA,BUENOS AIRES,Calle 7 Nº532,0221 412 1100,Bahia Blanca
900,FECLIBA,UNIVERSAL,Profesionales,PEDIATRIA,BUENOS AIRES,Calle 7 Nº532,0221 412 1100,Bahia Blanca
900,FECLIBA,UNIVERSAL,Profesionales,TRAUMATOLOGIA,BUENOS AIRES,Calle 7 Nº532,0221 412 1100,Bahia Blanca
900,FECLIBA,UNIVERSAL,Guardia,GUARDIA GENERAL,BUENOS AIRES,Calle 7 Nº532,0221 412 1100,Bahia Blanca
900,FECLIBA,UNIVERSAL,Guardia,GUARDIA PEDIATRICA,BUENOS AIRES,Calle 7 Nº532,0221 412 1100,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,CARDIOLOGIA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,CIRUGIA PLASTICA Y REPARADORA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,CLINICA MEDICA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,DERMATOLOGIA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,GASTROENTEROLOGIA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,GINECOLOGIA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,OFTALMOLOGIA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,TRAUMATOLOGIA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Profesionales,UROLOGIA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
6977,FEMEBA,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,Calle 5 Nro 473 41 y 42,0221 4311300,Bahia Blanca
11423,GAMA LABORATORIOS SRL,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,BUENOS AIRES,Av. Alem 533,0211 4555630,Bahia Blanca
11423,GAMA LABORATORIOS SRL,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,BUENOS AIRES,Av. Colon 315,0211 4554141,Bahia Blanca
2273,INSTITUTO RADIOLOGICO DE CORONEL SUAREZ,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,Av. Alsina 318 51,02126 431231,Bahia Blanca
2273,INSTITUTO RADIOLOGICO DE CORONEL SUAREZ,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,Av. Alsina 318 51,02126 431231,Bahia Blanca
2273,INSTITUTO RADIOLOGICO DE CORONEL SUAREZ,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,Av. Alsina 318 51,02126 431231,Bahia Blanca
8500,LEB LABORATORIO DE ESPECIALIDADES BIOQUIMICAS,SUPERADOR,Diagnostico y tratamiento,ANALISIS CLINICOS,BUENOS AIRES,Lamadrid Nro 405,0211 4510427,Bahia Blanca
8500,LEB LABORATORIO DE ESPECIALIDADES BIOQUIMICAS,SUPERADOR,Diagnostico y tratamiento,ANALISIS CLINICOS,BUENOS AIRES,Sarmiento 833,0211 4510427,Bahia Blanca
61,COLEGIO BIOQUIMICO DE CATAMARCA,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
64,CIRCULO MEDICO DE CATAMARCA,UNIVERSAL,Profesionales,CIRUGIA PLASTICA Y REPARADORA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
64,CIRCULO MEDICO DE CATAMARCA,UNIVERSAL,Profesionales,CLINICA MEDICA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
64,CIRCULO MEDICO DE CATAMARCA,UNIVERSAL,Diagnostico y tratamiento,ENDOSCOPIA DIGESTIVA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
64,CIRCULO MEDICO DE CATAMARCA,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
64,CIRCULO MEDICO DE CATAMARCA,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION GENERAL,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
2229,COLEGIO DE FONOAUDIOLOGOS DE CATAMARCA,UNIVERSAL,Profesionales,FONOAUDIOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
2560,COLEGIO DE KINES.Y FISIOT.DE CATAMARCA,UNIVERSAL,Profesionales,KINESIOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
61288,INSTITUTO MEDICO PRIVADO S.A.,UNIVERSAL,Profesionales,CARDIOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
61288,INSTITUTO MEDICO PRIVADO S.A.,UNIVERSAL,Profesionales,GINECOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
61288,INSTITUTO MEDICO PRIVADO S.A.,UNIVERSAL,Profesionales,PEDIATRIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
61288,INSTITUTO MEDICO PRIVADO S.A.,UNIVERSAL,Profesionales,TRAUMATOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
61288,INSTITUTO MEDICO PRIVADO S.A.,UNIVERSAL,Guardia,GUARDIA GENERAL,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
6506,COL. DE PSICOLOGOS DE CATAMARCA,UNIVERSAL,Profesionales,SALUD MENTAL,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
5582,INDICAT SRL,UNIVERSAL,Profesionales,CARDIOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
5582,INDICAT SRL,UNIVERSAL,Profesionales,CLINICA MEDICA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
5582,INDICAT SRL,UNIVERSAL,Profesionales,OFTALMOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
5582,INDICAT SRL,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
5582,INDICAT SRL,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
5582,INDICAT SRL,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,CATAMARCA,Contactarse con Seccional,383 4557352,San Fernando del Valle de Catamarca
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,CARDIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,DERMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,ENDOCRINOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,KINESIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,GASTROENTEROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,GINECOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,INFECTOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,NEFROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
